,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_nie_dla_epileptyków,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,bezpieczeństwo_przycisk_bezpieczeństwa,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
0,Cicha Noc,Gliwice,TickTack,75,Przygodowy,śr. zaawansowani,85 ,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,10.0,10.0,10.0,Średni,2,5
1,Powstanie Warszawskie,Warszawa,Black Cat Escape Room,80,Historyczny,śr. zaawansowani,258 ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,9.8,9.8,10.0,Trudny,2,8
2,Lokalizacja,Gliwice,TickTack,75,Fabularny,doświadczony,271 ,3,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,10.0,10.0,10.0,Trudny,2,5
3,Opuszczony Hotel,Wrocław,Exit19.pl,101,Thriller,śr. zaawansowani,57 ,4,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,9.9,9.9,10.0,Średni,2,5
4,Rastamobil,Wrocław,Escape Bus / Escapeo,90,Przygodowy,śr. zaawansowani,98 ,5,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,9.9,10.0,10.0,Średni,2,4
5,Krasnoludy,Poznań,Escapelandia,75,Przygodowy,śr. zaawansowani,91 ,6,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,9.9,10.0,10.0,Średni,2,4
6,Moriarty sp. z o.o.,Katowice,Quest Cage,75,Fabularny,śr. zaawansowani,434 ,7,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,9.8,9.9,9.9,Trudny,2,5
7,Klątwa Czarnobrodego,Bydgoszcz,Mr Lock Escape Room,60,Przygodowy,śr. zaawansowani,117 ,8,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,9.8,9.9,9.9,Trudny,2,4
8,Superheroom,Bydgoszcz,Mr Lock Escape Room,70,Przygodowy,śr. zaawansowani,410 ,9,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,9.8,10.0,9.9,Trudny,2,5
9,Lochy Króla Artura,Wrocław,Exit19.pl,90,Przygodowy,śr. zaawansowani,159 ,10,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,9.8,9.5,9.9,Trudny,2,5
10,Rodzina Addamsów,Wrocław,HURRY UP,90,Przygodowy,śr. zaawansowani,110 ,11,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,9.8,10.0,10.0,Trudny,2,4
11,W cieniu piramid,Warszawa,Wyjście Awaryjne,60,Przygodowy,śr. zaawansowani,218 ,12,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,9.8,9.7,9.9,Średni,2,5
12,Serce Ozyrysa,Kraków,Escape Kraków,90,Przygodowy,doświadczony,77 ,14,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,9.7,9.8,9.7,Trudny,2,5
13,Seria Niefortunnych Zagadek,Pszczyna,Cinema Escape,75,Fabularny,śr. zaawansowani,218 ,13,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,9.8,9.9,10.0,Średni,3,6
14,Operacja: Metro,Bydgoszcz,Wyjście Awaryjne,75,Przygodowy,śr. zaawansowani,133 ,15,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,9.8,9.8,10.0,Trudny,2,5
15,Expecto Patronum!,Gdańsk,Escape Time,75,Przygodowy,śr. zaawansowani,83 ,16,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,9.7,9.9,10.0,Średni,2,6
16,Osobowość,Poznań,Continuum,75,Kryminalny,doświadczony,142 ,17,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,9.7,9.9,9.9,Trudny,2,4
17,Wikingowie · Amulety Mocy,Poznań,ESCAPE ARENA,75,Przygodowy,śr. zaawansowani,176 ,18,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,9.8,10.0,9.9,Trudny,2,5
18,Katakumby,Warszawa,Zagadkownia,75,Thriller,początkujący,61 ,19,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,9.7,9.9,10.0,Średni,2,6
19,Przeklęta wyspa,Warszawa,Escape Project,60,Przygodowy,śr. zaawansowani,259 ,20,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,9.7,9.7,9.9,Średni,2,6
20,Nieznajomi,Poznań,Continuum,75,Horror,śr. zaawansowani,111 ,21,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,9.7,9.9,9.8,Średni,2,4
21,Testament,Rybnik,Set Me Free,75,Przygodowy,doświadczony,54 ,22,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,9.9,10.0,10.0,Trudny,2,4
22,Tajemnicze Domostwo,Poznań,DreamScape,75,Thriller,doświadczony,66 ,23,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,9.8,10.0,10.0,Trudny,2,4
23,Chłopiec,Rybnik,Set Me Free,75,Fabularny,śr. zaawansowani,20 ,24,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,9.9,10.0,10.0,Średni,2,5
24,Pachnidło,Gdańsk,Escape Time,75,Thriller,śr. zaawansowani,92 ,25,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,9.7,9.9,9.8,Trudny,2,6
25,Obłęd,Wrocław,Exit19.pl,90,Thriller,śr. zaawansowani,293 ,26,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,9.7,9.7,9.8,Trudny,2,6
26,Golden Hajs,Poznań,Escapelandia,75,Przygodowy,doświadczony,147 ,27,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,9.7,9.9,9.8,Trudny,2,5
27,American School Story,Wrocław,Fox O'clock,90,Thriller,doświadczony,128 ,28,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,9.7,9.9,9.9,Trudny,2,5
28,Dom pogrzebowy,Poznań,Escapelandia,60,Przygodowy,śr. zaawansowani,159 ,29,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,9.6,9.8,9.9,Trudny,2,5
29,W cieniu piramid,Bydgoszcz,Wyjście Awaryjne,60,Przygodowy,śr. zaawansowani,301 ,30,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,9.7,9.8,10.0,Trudny,2,5
30,Porwany Samolot,Wrocław,Escape Bus / Escapeo,90,Thriller,śr. zaawansowani,285 ,31,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,9.7,10.0,9.8,Trudny,2,4
31,Szum,Poznań,Continuum,75,Thriller,śr. zaawansowani,118 ,32,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,9.8,9.9,9.9,Trudny,2,5
32,Koneser,Poznań,DreamScape,75,Przygodowy,śr. zaawansowani,206 ,33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,9.7,9.8,9.8,Trudny,2,5
33,Sekret dziadka,Poznań,Escapelandia,75,Fabularny,doświadczony,241 ,34,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,9.7,10.0,9.8,Trudny,2,5
34,Muzeum okultyzmu Państwa Warren,Warszawa,Exciting Escape Room,90,Horror,doświadczony,97 ,35,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,9.6,9.9,9.8,Trudny,2,5
35,Freakshow,Bydgoszcz,Break The Brain,60,Thriller,początkujący,178 ,36,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,9.7,9.9,9.9,Średni,2,4
36,Sztukmistrz z dzielnicy Muveszet,Warszawa,Mysterious Room,90,Fabularny,śr. zaawansowani,61 ,37,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,9.5,9.8,9.9,Trudny,2,5
37,Galaktyka Tajemnic,Poznań,ESCAPE ARENA,75,Przygodowy,śr. zaawansowani,127 ,38,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,9.7,9.9,9.8,Średni,2,5
38,Urok,Poznań,DreamScape,75,Przygodowy,śr. zaawansowani,109 ,39,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,9.7,9.9,9.7,Średni,2,5
39,Dooby Doo,Wrocław,Fox O'clock,90,Thriller,doświadczony,242 ,40,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,9.6,9.9,9.8,Trudny,2,5
40,Ale Sztuka!,Chorzów,LOFTescape,60,Fabularny,śr. zaawansowani,51 ,41,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,9.5,9.8,9.8,Trudny,2,4
41,Legenda Miecza,Warszawa,Wyjście Awaryjne,60,Przygodowy,początkujący,342 ,42,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,9.5,9.7,9.7,Średni,2,5
42,Tajemnica Władcy Nilu,Bydgoszcz,Wyjście Awaryjne,60,Przygodowy,początkujący,167 ,43,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,9.3,9.5,9.8,Średni,2,5
43,Wehikuł Czasu - Tajemnica Leonarda,Wrocław,Exit19.pl,90,Przygodowy,śr. zaawansowani,76 ,44,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,9.5,9.7,10.0,Trudny,2,5
44,Kuźnia Krasnoluda,Gdynia,Escape Me Gdynia,75,Fantasy,doświadczony,31 ,45,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,9.8,10.0,10.0,Trudny,2,4
45,Teksańska Masakra,Poznań,Find a Way,75,Horror,śr. zaawansowani,21 ,46,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,9.5,9.7,10.0,Trudny,2,5
46,Stara Szafa,Warszawa,Świat Zagadek,70,Przygodowy,śr. zaawansowani,105 ,47,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,9.4,9.8,9.6,Trudny,2,5
47,Kopalnia Złota,Chorzów,Strych,60,Przygodowy,śr. zaawansowani,93 ,48,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,9.5,10.0,9.9,Średni,2,4
48,Psychopata,Rybnik,Set Me Free,75,Thriller,śr. zaawansowani,58 ,49,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,9.8,10.0,10.0,Trudny,2,5
49,In da Club,Poznań,IN DA CLUB,75,Przygodowy,śr. zaawansowani,55 ,50,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,9.6,9.9,9.9,Trudny,2,5
50,Syreni Śpiew,Wrocław,Fox O'clock,60,Fantasy,śr. zaawansowani,128 ,51,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,9.4,9.6,9.7,Trudny,2,4
51,Ubik,Bytom,Escape Graal,70,Fabularny,śr. zaawansowani,60 ,52,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,9.5,10.0,9.6,Średni,2,5
52,Wrota Czasu - Tortuga,Gliwice,TickTack,60,Przygodowy,śr. zaawansowani,418 ,53,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,9.4,10.0,9.9,Trudny,2,5
53,Tunele pod miastem,Katowice,Quest Cage Centrum,60,Przygodowy,początkujący,149 ,54,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,9.4,9.8,9.7,Średni,2,4
54,Świt nietoperzy,Poznań,Evadere,75,Przygodowy,doświadczony,37 ,55,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,9.6,10.0,9.6,Trudny,2,5
55,Sanitariusz,Swarzędz,Escape House,75,Thriller,śr. zaawansowani,38 ,56,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,9.7,10.0,9.8,Trudny,2,4
56,Tajemnicza Komnata,Warszawa,Świat Zagadek,60,Przygodowy,początkujący,520 ,57,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,9.4,10.0,9.5,Średni,2,5
57,Świątynia 2.0 - Wynalazek Tesli,Kraków,Secreto,60,Przygodowy,śr. zaawansowani,86 ,59,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,9.3,9.4,9.6,Średni,2,5
58,Nekromanta - Rytuał Śmierci,Wrocław,Exit19.pl,70,Przygodowy,śr. zaawansowani,156 ,58,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,9.5,9.8,9.8,Średni,2,5
59,Paranoja,Łódź,Tkalnia Zagadek,150,Horror,śr. zaawansowani,29 ,60,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,9.8,9.8,9.9,Trudny,2,6
60,Kancelaria,Poznań,Key To Be Free,75,Kryminalny,śr. zaawansowani,15 ,61,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,9.7,10.0,10.0,Średni,2,6
61,Magia Hogwartu,Rzeszów,Escape Room Rzeszów,60,Fantasy,śr. zaawansowani,47 ,62,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,9.6,9.9,10.0,Trudny,2,6
62,Odkrywcy,Swarzędz,Escape House,60,Przygodowy,śr. zaawansowani,45 ,63,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,9.7,10.0,9.9,Trudny,2,4
63,Rosalie,Wrocław,Fox O'clock,75,Thriller,doświadczony,18 ,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9.2,9.8,9.5,Trudny,2,4
64,Legenda Miecza,Bydgoszcz,Wyjście Awaryjne,60,Przygodowy,początkujący,450 ,65,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,9.6,9.8,9.8,Średni,2,5
65,Złoto nazistów,Warszawa,Black Cat Escape Room,60,Przygodowy,śr. zaawansowani,982 ,66,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,9.2,9.8,9.7,Trudny,2,7
66,Saloon,Zabrze,Open The Lock,75,Przygodowy,śr. zaawansowani,43 ,68,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,9.6,10.0,9.7,Trudny,2,5
67,Bestie Peruna,Wrocław,Trap Jungle,100,Fantasy,doświadczony,4 ,67,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,9.9,10.0,10.0,Trudny,2,4
68,Zamek Czarnego Kruka,Bytom,Can you escape?,60,Przygodowy,śr. zaawansowani,64 ,69,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,9.4,9.9,9.8,Średni,2,5
69,Primadonna,Poznań,Operator Zagadek,75,Przygodowy,śr. zaawansowani,80 ,71,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,9.6,9.9,9.7,Średni,2,8
70,Obłęd,Bydgoszcz,Break The Brain,60,Thriller,śr. zaawansowani,323 ,72,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,9.4,9.8,9.8,Trudny,3,7
71,Dom mordercy Remastered,Warszawa,Black Cat Escape Room,70,Thriller,śr. zaawansowani,1 467 ,73,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,9.1,9.7,9.7,Trudny,2,7
72,Reaktor 404: powrót atomu,Katowice,Quest Cage,60,Fabularny,początkujący,309 ,74,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,9.2,9.9,9.6,Średni,2,5
73,Jaś i Małgosia,Poznań,Escapelandia,60,Fantasy,początkujący,39 ,76,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,9.3,9.7,9.6,Łatwy,2,4
74,Duch,Poznań,EXODUS,60,Horror,śr. zaawansowani,56 ,75,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,8.8,9.1,9.2,Trudny,2,6
75,Piracka Skrzynia Umarlaka,Gdynia,Escape Me Gdynia,60,Fantasy,śr. zaawansowani,21 ,78,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,9.6,10.0,9.8,Trudny,2,5
76,Sekretne Stowarzyszenie,Toruń,Bunkier51,75,Fabularny,śr. zaawansowani,21 ,77,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,9.7,9.6,9.6,Trudny,2,7
77,Kim jest Max Winckler?,Warszawa,Mysterious Room,60,Fabularny,doświadczony,86 ,79,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,8.9,9.7,9.4,Trudny,2,5
78,Licencja 00,Chorzów,LOFTescape,75,Akcja,śr. zaawansowani,62 ,80,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,9.2,9.9,9.4,Trudny,1,4
79,Piekło Hazardzisty,Katowice,Quest Cage,70,Fabularny,eksperci,84 ,81,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,9.3,9.8,9.6,Trudny,2,5
80,Grota Mocy,Zabrze,Open The Lock,70,Przygodowy,śr. zaawansowani,71 ,82,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,9.5,9.9,9.8,Średni,2,5
81,Turniej Magiczny,Kraków,Lock House,60,Przygodowy,śr. zaawansowani,56 ,83,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,8.9,9.7,9.3,Średni,2,5
82,Klątwa Skarbu Majów,Wrocław,Exit19.pl,60,Przygodowy,śr. zaawansowani,133 ,84,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,9.1,9.7,9.7,Trudny,2,4
83,Krew wikingów,Tczew,Escape Room Tczew,60,Historyczny,doświadczony,23 ,85,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,9.5,10.0,9.7,Trudny,2,6
84,Duch Wulkanu - Człowieki w Kotle,Wrocław,Exit19.pl,60,Przygodowy,śr. zaawansowani,76 ,70,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,9.1,9.6,9.8,Trudny,2,4
85,Biały Wilk,Szczecin,ESC Room,90,Fantasy,doświadczony,30 ,87,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,9.4,9.8,9.9,Trudny,3,8
86,Tożsamość Mordercy,Legnica,LockER,90,Kryminalny,śr. zaawansowani,8 ,86,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,9.9,10.0,10.0,Średni,2,6
87,Murder House,Poznań,Continuum,60,Horror,początkujący,251 ,88,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,9.4,9.8,9.7,Trudny,1,4
