,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_nie_dla_epileptyków,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,bezpieczeństwo_przycisk_bezpieczeństwa,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
180,Krypta,Wrocław,Secret Room & Brain Code,90,Przygodowy,śr. zaawansowani,121 ,181,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,8.7,10.0,9.4,Średni,2,6
181,Indiana Jones i Święty Graal,Bytom,Escape Graal,60,Przygodowy,początkujący,66 ,182,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,9.0,10.0,9.0,Średni,2,5
182,Statek Piracki,Grudziądz,Find The Key,60,Przygodowy,śr. zaawansowani,96 ,184,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,9.9,10.0,10.0,Średni,2,5
183,Operacja Byfyj,Rybnik,Open The Lock,70,Fabularny,doświadczony,50 ,185,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,9.5,10.0,9.8,Trudny,2,5
184,Fabryka Czekolady,Chorzów,LOFTescape,60,Fabularny,śr. zaawansowani,196 ,186,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,8.8,9.5,9.4,Średni,2,4
185,Sekretny Gabinet Zegarmistrza,Katowice,LOFTescape,60,Fabularny,śr. zaawansowani,40 ,187,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,9.1,9.9,9.3,Trudny,2,3
186,Schron 2.0,Gdańsk,Podziemna pułapka,60,Fabularny,śr. zaawansowani,76 ,188,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,8.5,9.7,8.6,Trudny,2,5
187,Pokój gangstera,Radomsko,Zagadkowo,60,Kryminalny,śr. zaawansowani,19 ,189,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,9.3,10.0,9.7,Trudny,2,5
188,Czarny Motylek,Wrocław,Fox O'clock,60,Thriller,śr. zaawansowani,324 ,190,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,8.4,9.7,9.2,Średni,2,5
189,Peron 9 i 3/4,Wrocław,Trap Jungle,90,Fantasy,śr. zaawansowani,105 ,191,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,8.8,9.8,9.6,Trudny,2,4
190,Tajemnice Elfandiru,Legnica,LockER,90,Fantasy,śr. zaawansowani,25 ,192,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,9.1,9.8,9.7,Trudny,2,5
191,Nemo,Poznań,EXODUS,60,Dla dzieci,początkujący,10 ,193,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,10.0,10.0,10.0,Łatwy,2,5
192,Wiedźma i Albercik,Wrocław,Secret Room & Brain Code,60,Fantasy,początkujący,11 ,194,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,8.7,9.8,9.7,Łatwy,1,4
193,Klątwa Zbójów,Zakopane,LetMeOut,60,Przygodowy,śr. zaawansowani,62 ,195,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,8.8,9.4,9.3,Średni,2,6
194,Sala Przesłuchań,Gdańsk,Escape Time,60,Thriller,eksperci,82 ,196,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,8.9,9.5,9.4,Trudny,2,4
195,Tajemnica 61. Kilometra,Gdańsk,Zorkout Escape Rooms,60,Przygodowy,śr. zaawansowani,65 ,197,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,8.5,8.9,9.0,Trudny,2,5
196,Legendy Camelotu,Nowy Sącz,ShareLocked,60,Przygodowy,śr. zaawansowani,32 ,198,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,8.9,10.0,9.7,Trudny,2,5
197,Horror,Chorzów,ER 1871 Inny Wymiar,70,Horror,śr. zaawansowani,65 ,199,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,8.1,8.9,9.0,Średni,2,6
198,Gabinet Ignacego Łukasiewicza,Bielsko-Biała,Konsorcjum Czasu,60,Historyczny,początkujący,31 ,200,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,8.9,9.9,9.4,Łatwy,1,4
199,Opętanie,Toruń,Dom Kłódek,75,Thriller,doświadczony,57 ,201,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,8.8,9.8,9.0,Trudny,2,8
200,Grobowiec Faraona,Lublin,LetMeOut,60,Przygodowy,doświadczony,8 ,203,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,9.2,9.4,9.8,Trudny,2,6
201,The Final Show,Gdańsk,Zorkout Escape Rooms,60,Fabularny,śr. zaawansowani,43 ,202,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,8.9,9.4,9.0,Trudny,2,4
202,Tajemnica starej kamienicy,Warszawa,Escape Room Majdańska 18 Warszawa,60,Przygodowy,śr. zaawansowani,42 ,205,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,8.5,9.8,8.7,Średni,2,3
203,Misja na Wschodzie,Szczyrk,Chata Tajemnic,80,Przygodowy,doświadczony,7 ,204,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,8.9,10.0,9.2,Trudny,3,8
204,Kraina Wiecznej Nocy,Wrocław,Secret Room & Brain Code,60,Przygodowy,początkujący,52 ,206,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,8.7,9.8,9.7,Średni,1,4
205,Cela nr 4,Bydgoszcz,Wyjście Awaryjne,60,Kryminalny,początkujący,318 ,207,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,9.3,10.0,9.5,Średni,2,5
206,Pionek i Kostka,Warszawa,OtoPokojeZagadek,60,Przygodowy,śr. zaawansowani,86 ,208,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,8.9,10.0,9.6,Trudny,2,5
207,Trójkąt Bermudzki,Toruń,Dom Kłódek,60,Przygodowy,początkujący,20 ,209,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,8.6,9.7,9.2,Średni,2,5
208,Interactive 2.0,Warszawa,Room Escape Warszawa,60,Przygodowy,śr. zaawansowani,38 ,210,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,8.6,9.4,8.7,Średni,2,5
209,Dżungla Azteków,Poznań,Malta Escape Room,60,Przygodowy,początkujący,41 ,212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,8.7,9.6,9.4,Średni,2,5
210,Plan na włam,Bydgoszcz,Wyjście Awaryjne,60,Kryminalny,śr. zaawansowani,228 ,211,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,8.9,9.9,9.0,Średni,2,5
211,Nawiedzony Dwór,Nowy Sącz,ShareLocked,60,Przygodowy,doświadczony,19 ,213,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,8.9,9.7,9.4,Bardzo trudny,2,5
212,Plan A,Olsztyn,Profesor Escape Room Olsztyn,60,Fabularny,początkujący,16 ,214,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,8.7,9.7,8.5,Średni,2,6
213,Piwnica 2.0,Warszawa,Room Escape Warszawa,60,Kryminalny,śr. zaawansowani,25 ,215,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,8.5,9.6,8.7,Trudny,2,5
214,PostApo: Schron,Chorzów,ER 1871 Inny Wymiar,90,Fabularny,śr. zaawansowani,36 ,216,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,8.4,9.4,8.7,Trudny,2,6
215,Misja Neffo,Łódź,Alfa Fun,75,Przygodowy,śr. zaawansowani,12 ,217,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,9.0,9.8,9.4,Trudny,2,5
216,Złoto Majów,Szczyrk,Chata Tajemnic,70,Przygodowy,doświadczony,10 ,219,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,8.6,10.0,9.4,Trudny,1,5
217,Da Vinci,Poznań,Key To Be Free,60,Przygodowy,śr. zaawansowani,48 ,218,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,8.8,9.7,9.2,Trudny,2,6
218,"Misja ""Napoleon""",Gostyń,Muzeum Gostyń,90,Fabularny,śr. zaawansowani,21 ,220,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,9.7,9.7,9.6,Trudny,2,5
219,Kopalnia Diamentów,Sopot,Questrooms,70,Przygodowy,śr. zaawansowani,8 ,221,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,9.4,9.7,10.0,Średni,2,4
220,Pokój laleczki Chucky,Kraków,SCARY HOSTEL KRAKÓW,60,Horror,początkujący,132 ,222,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,8.3,9.7,8.7,Średni,2,5
221,Kraina Czarów,Wrocław,LetMeOut,60,Abstrakcyjny,początkujący,107 ,223,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,8.8,9.2,9.2,Łatwy,2,5
222,Frankenstein,Poznań,EXODUS,60,Przygodowy,śr. zaawansowani,166 ,224,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,8.4,8.9,9.2,Trudny,2,7
223,Hannibal,Piła,LOCKED Escape Room Piła,60,Horror,śr. zaawansowani,16 ,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6,10.0,9.9,Średni,2,4
224,Western Dziki Saloon,Poznań,Find a Way,75,Przygodowy,śr. zaawansowani,21 ,227,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,8.2,8.1,9.6,Średni,2,5
225,Śmierć w Bractwie,Gdańsk,Questrooms,60,Fabularny,doświadczony,175 ,228,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,8.4,9.6,8.8,Trudny,2,5
226,Browar krasnoludzki,Katowice,Mystery Machinery,75,Fantasy,doświadczony,15 ,229,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,8.2,9.1,9.3,Trudny,2,6
227,W krainie Trolli,Toruń,Dom Kłódek,60,Przygodowy,początkujący,34 ,230,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,8.3,9.7,8.8,Średni,2,5
228,Prison Escape,Wrocław,Exit19.pl,60,Kryminalny,doświadczony,11 ,231,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,8.5,9.5,9.3,Trudny,2,4
229,Mroczne Zamczysko - Egzekucja,Toruń,OPEN THE DOOR,60,Przygodowy,śr. zaawansowani,11 ,232,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,9.0,9.9,9.3,Trudny,2,6
230,Przeklęty Pierścień,Wrocław,Secret Room & Brain Code,60,Przygodowy,początkujący,42 ,234,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,8.3,9.5,9.3,Średni,1,4
231,Laboratorium Tesli,Katowice,Mystery Machinery,60,Fabularny,śr. zaawansowani,4 ,233,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,9.0,9.4,9.9,Trudny,2,5
232,Tajemnica Strefy 51,Toruń,Bunkier51,60,Przygodowy,śr. zaawansowani,32 ,235,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,8.6,9.1,9.1,Średni,2,4
233,Transport,Łódź,QUITZONE,120,Przygodowy,śr. zaawansowani,7 ,236,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,9.3,10.0,9.8,Trudny,2,6
234,Muzeum 2.0,Warszawa,Room Escape Warszawa,60,Przygodowy,śr. zaawansowani,25 ,237,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,8.6,9.6,9.1,Średni,2,5
235,Kolekcjoner,Poznań,Time 4 Secrets,60,Thriller,śr. zaawansowani,750 ,238,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,8.0,8.7,9.2,Trudny,2,5
236,Vinci,Nowy Sącz,ShareLocked,60,Fabularny,na pierwszy raz,57 ,239,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,8.8,10.0,9.6,Średni,2,5
237,Klątwa Czarnoksiężnika,Łódź,Drzwi Tajemnic,60,Przygodowy,śr. zaawansowani,28 ,241,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,9.0,9.4,9.5,Średni,2,5
238,Fantazja,Wrocław,Piwnica Quest,60,Abstrakcyjny,początkujący,98 ,240,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,8.6,9.7,8.3,Łatwy,2,5
239,Indiana 2.0,Warszawa,Room Escape Warszawa,60,Przygodowy,początkujący,28 ,242,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,8.5,9.0,8.5,Trudny,2,5
240,Zaginiony Oficer,Poznań,The Bunkier Escape Rooms,90,Przygodowy,śr. zaawansowani,184 ,244,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,9.0,9.7,9.5,Trudny,2,5
241,Sherlock's Room,Katowice,Quest Cage,60,Kryminalny,początkujący,315 ,243,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,8.6,9.7,9.2,Średni,2,5
242,Baker Street,Nowy Sącz,ShareLocked,60,Kryminalny,początkujący,98 ,245,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,8.7,9.5,9.5,Średni,2,5
243,Oddział psychiatryczny,Gdynia,WALKOUT,60,Thriller,śr. zaawansowani,162 ,246,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,9.2,9.5,9.2,Trudny,2,6
244,Zasypani,Szczecin,ESC Room,60,Przygodowy,początkujący,91 ,247,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,8.9,9.9,9.4,Średni,2,6
245,Apokalipsa,Olsztyn,iESCAPE Olsztyn,60,Przygodowy,eksperci,21 ,248,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,8.6,9.2,8.9,Trudny,2,5
246,Tajna Kwatera Dyktatora,Warszawa,8 Gates Escape Room,60,Przygodowy,śr. zaawansowani,44 ,249,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,8.7,9.6,9.0,Średni,2,5
247,Laboratorium strachu,Grudziądz,Find The Key,60,Thriller,doświadczony,92 ,251,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,9.8,9.9,9.9,Trudny,2,6
248,Prosektorium,Katowice,LOFTescape,60,Thriller,początkujący,25 ,250,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,8.6,10.0,9.4,Średni,2,5
249,Okręt podwodny,Gdańsk,Podziemna pułapka,60,Przygodowy,doświadczony,61 ,252,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,9.0,9.6,9.1,Trudny,2,4
250,Podróż,Warszawa,Dom Zagadek,60,Przygodowy,doświadczony,31 ,253,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,8.4,9.2,8.9,Średni,2,8
251,Alchemik,Poznań,Key To Be Free,60,Przygodowy,śr. zaawansowani,14 ,226,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,8.5,10.0,9.0,Średni,2,6
252,W odległej galaktyce,Bydgoszcz,Break The Brain,75,Przygodowy,doświadczony,244 ,254,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,8.2,9.4,8.8,Trudny,2,5
253,Program Goździk,Poznań,The Bunkier Escape Rooms,90,Thriller,początkujący,66 ,255,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,8.9,9.9,9.7,Średni,2,4
254,Excalibur,Poznań,Key To Be Free,60,Przygodowy,początkujący,67 ,256,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,8.3,9.9,9.0,Trudny,2,7
255,Sherlock Holmes,Wrocław,LetMeOut,60,Przygodowy,śr. zaawansowani,21 ,257,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,8.7,9.7,9.7,Średni,2,5
256,Kraina Czarów,Zakopane,LetMeOut,60,Abstrakcyjny,początkujący,81 ,258,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,8.5,8.8,9.4,Średni,2,6
257,Nowa Odyseja Kosmiczna,Warszawa,Quest Hunt - Escape Room,90,Futurystyczny,doświadczony,3 ,259,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,9.0,9.5,10.0,Trudny,2,7
258,Zodiak,Bielsko-Biała,HURRY UP,60,Thriller,doświadczony,67 ,260,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,8.1,9.2,8.8,Trudny,3,5
259,Noc żywych trupów,Wrocław,Trap Jungle,75,Przygodowy,doświadczony,71 ,261,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,8.9,9.9,9.2,Średni,2,5
260,Strych Szalonego Alchemika,Katowice,Quest Cage,60,Thriller,śr. zaawansowani,251 ,263,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,8.0,9.6,9.1,Trudny,2,4
261,Krwawy wódz,Gdańsk,Escape Time,60,Thriller,doświadczony,276 ,264,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,8.6,9.6,9.0,Trudny,2,6
262,Skarbiec,Katowice,Mystery Machinery,30,Fabularny,śr. zaawansowani,5 ,262,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,8.4,10.0,7.9,Średni,2,4
263,Zaklęte Amulety,Kraków,Gamescape Kraków,65,Przygodowy,śr. zaawansowani,14 ,265,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,8.4,9.3,9.2,Trudny,2,8
264,Chata guślarki,Gdańsk,Escape Time,60,Przygodowy,początkujący,195 ,266,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,8.4,9.6,8.6,Średni,2,6
265,Domek w górach,Karpacz,Pokoje Tajemnic,60,Przygodowy,śr. zaawansowani,52 ,267,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,8.4,8.2,8.2,Średni,2,5
266,Dziki Zachód,Rybnik,Open The Lock,60,Fabularny,początkujący,46 ,268,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,9.0,9.9,9.5,Średni,2,5
267,Walkiria,Poznań,Key To Be Free,60,Historyczny,śr. zaawansowani,137 ,270,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,8.0,9.4,8.9,Trudny,2,7
268,Bon Appetit,Łódź,Alfa Fun,75,Horror,śr. zaawansowani,27 ,271,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,8.2,9.9,8.6,Średni,2,6
269,Tajemnica Księgi Lasu,Wrocław,LetMeOut,60,Przygodowy,początkujący,19 ,272,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,8.2,9.3,8.6,Średni,2,5
270,Bogata Piwnica,Bielsko-Biała,Tajemnicza Piwnica - ER Group sp. z o. o.,60,Przygodowy,doświadczony,2 ,273,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,8.5,10.0,10.0,Trudny,2,4
271,Odeon,Radom,Blink Escape Radom,75,Thriller,doświadczony,17 ,274,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,9.2,10.0,9.5,Bardzo trudny,2,6
272,Starcie Mistrzów,Kraków,Gamescape Kraków,45,Przygodowy,doświadczony,5 ,275,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,9.5,10.0,10.0,Trudny,2,10
273,Wyspa Tajemnic,Poznań,Find a Way,60,Przygodowy,początkujący,11 ,277,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,8.3,9.8,8.8,Łatwy,2,5
