,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_nie_dla_epileptyków,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,bezpieczeństwo_przycisk_bezpieczeństwa,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
367,Espace Room,Jelenia Góra,King of the Lock,75,Przygodowy,śr. zaawansowani,4 ,369,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,8.8,10.0,8.9,Trudny,2,6
368,Psychiatryk,Wrocław,LetMeOut,60,Przygodowy,początkujący,35 ,370,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,6.4,7.2,9.1,Średni,2,5
369,Świątynia Majów,Nowy Sącz,The Locked Room,60,Przygodowy,początkujący,31 ,371,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,7.1,9.2,7.8,Średni,2,5
370,Chata Wiedźmy,Rzeszów,WydostanSie Escape Rooms,60,Fantasy,początkujący,44 ,372,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,5.7,9.0,5.9,Średni,2,6
371,Tajemnicza Dżungla,Wrocław,Dom Zagadek Exitus,45,Dla dzieci,początkujący,3 ,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10.0,10.0,10.0,Łatwy,2,6
372,Amber Gold,Kraków,ExitRoom ™,60,Kryminalny,początkujący,15 ,374,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,6.8,9.0,6.4,Średni,2,5
373,James Bond,Kraków,ExitRoom ™,60,Kryminalny,doświadczony,26 ,375,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,5.7,8.1,4.9,Średni,2,5
374,Serce Roztocza,Zamość,Escape Room Zamość,80,Przygodowy,doświadczony,4 ,376,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,9.3,10.0,9.5,Średni,2,6
375,Polana,Warszawa,Dom Zagadek,60,Przygodowy,na pierwszy raz,26 ,377,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,7.1,8.7,7.9,Średni,2,6
376,Psychoterapia,Kraków,LOST BAR,70,Fabularny,początkujący,16 ,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.6,4.1,3.3,Średni,2,6
377,Militarny Kryzys,Zamość,Escape Room Zamość,80,Fabularny,śr. zaawansowani,4 ,379,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,7.1,7.3,8.3,Trudny,2,6
378,Projekt Z.E.U.S.,Bielsko-Biała,Konsorcjum Czasu,75,Przygodowy,śr. zaawansowani,6 ,380,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,8.8,10.0,10.0,Średni,1,6
379,Saloon,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,60,Przygodowy,śr. zaawansowani,20 ,381,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,7.4,8.7,7.4,Średni,2,6
380,Misja A.V.A.T.A.R,Kraków,Locked UP,60,Przygodowy,śr. zaawansowani,8 ,382,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,7.7,9.3,6.8,Średni,2,5
381,Rytuał,Kielce,Unlock the door,50,Thriller,początkujący,2 ,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,10.0,Średni,2,4
382,Poza Światem,Warszawa,Dom Zagadek,60,Przygodowy,śr. zaawansowani,34 ,384,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,6.9,8.6,7.7,Średni,2,6
383,Czarna Perła,Gorzów Wielkopolski,Open The Lock,60,Przygodowy,na pierwszy raz,21 ,385,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,6.9,4.9,7.6,Średni,2,5
384,P@ssWord,Warszawa,Dom Zagadek,60,Abstrakcyjny,początkujący,16 ,386,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,7.1,9.2,7.7,Średni,2,6
385,Klątwa Tutenchamona,Warszawa,Zagadkownia,60,Przygodowy,doświadczony,192 ,387,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,7.0,9.2,7.5,Trudny,2,6
386,Gra Miejska - Illuminati,Poznań,Escapelandia,180,Fabularny,początkujący,6 ,388,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,8.0,10.0,8.7,Średni,2,6
387,Ostatnia cela,Słupsk,TrapRooms,60,Kryminalny,śr. zaawansowani,39 ,389,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,7.4,9.3,7.5,Średni,2,8
388,Guantanamo,Gorzów Wielkopolski,Open The Lock,60,Kryminalny,doświadczony,18 ,390,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,7.2,5.9,7.6,Średni,2,5
389,Agent FBI,Warszawa,SHOW ESCAPE,60,Kryminalny,doświadczony,7 ,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,10.0,6.7,Bardzo trudny,2,4
390,Piaski Pustyni,Konin,Next Level,60,Przygodowy,śr. zaawansowani,3 ,393,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,8.6,9.9,9.4,Średni,2,4
391,Leśne Trolle,Szczecin,Warsztatownia,60,Przygodowy,początkujący,8 ,392,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,9.2,6.6,10.0,Łatwy,2,6
392,Przygody Indiana Jones,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,60,Przygodowy,śr. zaawansowani,7 ,395,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,7.8,9.4,7.0,Trudny,3,7
393,Skarby Majów,Poznań,Key To Be Free,60,Przygodowy,początkujący,106 ,394,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,6.7,9.7,6.4,Średni,2,8
394,Opuszczona Piwnica,Gorzów Wielkopolski,Open The Lock,60,Thriller,śr. zaawansowani,14 ,396,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,7.7,5.7,7.6,Średni,2,4
395,Kryptonim Dżungla,Opole,Escape Room Chata Zagadek,60,Przygodowy,na pierwszy raz,7 ,397,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,7.3,9.5,8.4,Średni,2,5
396,Zielona Mila,Warszawa,SHOW ESCAPE,60,Przygodowy,doświadczony,9 ,398,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,7.7,9.6,9.0,Średni,2,12
397,Redrum,Żory,Open The Lock,60,Horror,śr. zaawansowani,29 ,399,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,6.3,6.0,7.5,Trudny,2,5
398,Łowca Umysłów,Giżycko,Pokoje zagadek,60,Thriller,śr. zaawansowani,6 ,400,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,8.4,8.8,8.2,Trudny,2,5
399,Wolfenstein,Kraków,ExitRoom ™,60,Fabularny,śr. zaawansowani,60 ,401,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,7.0,9.9,8.9,Średni,2,4
400,Mikołajowa Misja,Wisła,Zamek Zagadek,60,Przygodowy,na pierwszy raz,7 ,402,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,8.3,9.3,9.7,Średni,2,6
401,Apartament,Łódź,Alfa Fun,60,Przygodowy,początkujący,18 ,403,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,7.3,9.6,7.8,Średni,2,4
402,Krypta wampira,Warszawa,Zagadkownia,60,Thriller,śr. zaawansowani,201 ,404,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,5.4,7.2,6.6,Średni,2,5
403,S.O.S.,Iława,Open The Lock,60,Przygodowy,początkujący,6 ,405,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,8.8,10.0,9.1,Średni,2,5
404,Rozbitkowie w dżungli,Warszawa,Zagadkownia,60,Przygodowy,śr. zaawansowani,101 ,406,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,6.2,8.0,7.0,Średni,2,6
405,Chory Lekarz,Zamość,Escape Room Zamość,60,Thriller,początkujący,2 ,408,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,10.0,10.0,10.0,Średni,2,6
406,Bezludna Wyspa,Nowy Sącz,4Fun Escape Room Nowy Sącz,60,Przygodowy,śr. zaawansowani,9 ,407,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,6.0,5.5,8.3,Średni,2,6
407,Śmierć muzealnika,Stargard,Muzeum Archeologiczno-Historyczne Stargard,60,Kryminalny,doświadczony,7 ,409,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,9.6,10.0,9.4,Trudny,2,6
408,Laboratorium Frankensteina,Lublin,LetMeOut,60,Przygodowy,początkujący,5 ,410,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,7.4,9.0,7.2,Średni,2,6
409,Duchy Bastei,Stargard,Muzeum Archeologiczno-Historyczne Stargard,60,Thriller,początkujący,7 ,411,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,7.5,7.7,7.9,Trudny,2,6
410,Cela,Karpacz,Pokoje Tajemnic,60,Kryminalny,śr. zaawansowani,38 ,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.4,9.7,7.3,Łatwy,2,5
411,Szalony naukowiec,Żory,Open The Lock,60,Fabularny,śr. zaawansowani,12 ,413,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,5.7,7.0,5.5,Średni,2,5
412,Kara Śmierci - Średniowieczny Loch,Wrocław,LetMeOut,60,Przygodowy,początkujący,38 ,414,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,3.2,6.0,2.6,Średni,2,5
413,Więzienie,Wrocław,Secret Room & Brain Code,60,Kryminalny,początkujący,203 ,416,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,6.2,9.3,8.3,Średni,2,5
414,Posterunek 13,Bielsko-Biała,HURRY UP,60,Kryminalny,początkujący,50 ,415,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,6.7,8.2,7.6,Średni,2,5
415,Cosa nostra,Poznań,Time 4 Secrets,60,Kryminalny,śr. zaawansowani,203 ,418,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,8.2,9.8,8.9,Trudny,2,4
416,Amazonia - Wyprawa w nieznane,Szczecin,Escape Room Szczecin,60,Przygodowy,śr. zaawansowani,8 ,417,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,5.5,7.4,9.2,Średni,2,5
417,Muzeum Tortur,Rzeszów,WydostanSie Escape Rooms,60,Historyczny,początkujący,21 ,419,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,6.5,9.7,7.1,Średni,2,6
418,Tajemnica Egipskich Bogów,Gorzów Wielkopolski,Open The Lock,60,Historyczny,początkujący,20 ,420,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,5.8,4.5,8.3,Trudny,2,5
419,Nawiedzony Schowek,Nowy Sącz,4Fun Escape Room Nowy Sącz,60,Horror,śr. zaawansowani,10 ,421,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,4.9,7.6,5.8,Średni,2,6
420,Wyspa Skarbów,Giżycko,Pokoje zagadek,60,Przygodowy,początkujący,3 ,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,9.0,10.0,9.2,Łatwy,2,5
421,Szpieg z PRL-u,Kraków,Zoltar Park Kraków,45,Kryminalny,śr. zaawansowani,5 ,423,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,7.6,10.0,8.7,Średni,2,5
422,Czarownice z Eylau,Iława,Open The Lock,60,Thriller,śr. zaawansowani,5 ,424,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,5.6,10.0,5.1,Trudny,2,5
423,Bunkier 2 : Biuro Komendanta,Rzeszów,WydostanSie Escape Rooms,60,Kryminalny,początkujący,9 ,425,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,7.1,9.3,7.9,Średni,2,5
424,Legenda Króla Artura,Kraków,Locked UP,60,Przygodowy,początkujący,6 ,427,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,7.6,8.5,9.0,Średni,2,5
425,Na Skraju Lasu,Gorzów Wielkopolski,Open The Lock,60,Przygodowy,śr. zaawansowani,9 ,426,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,7.0,6.6,8.5,Średni,2,5
426,Opuszczona klinika,Kielce,Unlock the door,50,Thriller,początkujący,4 ,428,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,8.0,9.6,8.0,Łatwy,2,5
427,Skarb Templariuszy,Iława,Open The Lock,60,Przygodowy,początkujący,10 ,429,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,7.4,5.2,8.0,Łatwy,2,5
428,Szalone lata 80'te,Janów Lubelski,Zoom Natury,60,Fabularny,śr. zaawansowani,4 ,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,8.5,9.8,9.9,Średni,2,8
429,Magia Zielonej Komnaty,Kraków,Locked UP,60,Przygodowy,doświadczony,8 ,431,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,6.1,8.2,6.6,Trudny,2,5
430,Magiczny Las,Łódź,Tkalnia Zagadek KIDS,60,Dla dzieci,początkujący,4 ,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8.3,9.6,9.3,Łatwy,2,7
431,Atomowa Groza,Kraków,Zoltar Park Kraków,70,Historyczny,doświadczony,7 ,433,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,5.5,7.6,6.6,Trudny,2,5
432,Dexter,Kielce,Unlock the door,50,Kryminalny,doświadczony,2 ,435,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,10.0,10.0,10.0,Trudny,1,5
433,Noc w muzeum,Stargard,Muzeum Archeologiczno-Historyczne Stargard,60,Historyczny,eksperci,3 ,436,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,8.5,9.0,9.5,Bardzo trudny,2,6
434,Joker,Bielsko-Biała,HURRY UP,60,Kryminalny,doświadczony,64 ,437,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,6.3,9.7,7.1,Trudny,2,5
435,Galeria Sztuki,Słupsk,TrapRooms,60,Przygodowy,początkujący,5 ,438,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,7.8,9.2,7.0,Średni,2,8
436,Kraina Czarów,Giżycko,Pokoje zagadek,60,Przygodowy,śr. zaawansowani,8 ,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.3,8.9,6.2,Trudny,2,5
437,Ekspedycja na Marsa,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,60,Przygodowy,śr. zaawansowani,25 ,440,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,5.3,7.6,5.3,Trudny,2,5
438,Piwnica dziadka,Gdańsk,Podziemna pułapka,60,Abstrakcyjny,początkujący,69 ,441,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,6.4,9.0,7.2,Średni,2,4
439,Statek Kosmiczny,Łódź,Tkalnia Zagadek KIDS,60,Dla dzieci,początkujący,2 ,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.1,9.9,10.0,Łatwy,2,7
440,Sherlock - Święty Grall,Szczecin,Escape Room Szczecin,60,Przygodowy,śr. zaawansowani,4 ,443,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,3.2,2.3,6.5,Trudny,2,5
441,Domek pełen emocji,Dębki,Locked Houses,60,Przygodowy,brak informacji,2 ,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.1,10.0,8.2,Łatwy,1,4
442,Magiczny Sklep z Różdżkami,Wisła,Zamek Zagadek,65,Fantasy,śr. zaawansowani,13 ,445,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,6.6,7.7,7.1,Średni,2,8
443,Zaginione Kryształy 2.0,Kraków,Gamescape Kraków,60,Dla dzieci,na pierwszy raz,1 ,446,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,10.0,10.0,10.0,Łatwy,2,5
444,13 Posterunek,Zamość,Escape Room Zamość,60,Kryminalny,początkujący,1 ,447,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,10.0,10.0,10.0,Średni,2,6
445,Przygody Pirata Joe,Białystok,Unlocked - Escape Room,60,Przygodowy,początkujący,1 ,448,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,9.0,10.0,10.0,Łatwy,2,4
446,Outdoor Escape - Magiczny Portal,Kraków,Gamescape Kraków,150,Dla dzieci,początkujący,1 ,449,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,10.0,10.0,10.0,Łatwy,2,6
447,Mały Książę. Sen Pilota,Kluczbork,Escape Room Kluczbork,60,Fabularny,śr. zaawansowani,2 ,450,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,6.3,8.4,7.1,Łatwy,2,4
448,Gra Miejska - Koziołki,Poznań,Escapelandia,70,Fabularny,początkujący,1 ,451,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,8.0,10.0,10.0,Bardzo łatwy,2,6
449,Nawiedzona piwnica,Janów Lubelski,Zoom Natury,60,Thriller,śr. zaawansowani,1 ,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,8.0,6.0,6.0,Średni,2,6
450,Gabinet Kristera,Jedlina-Zdrój,Zespół Pałacowo-Hotelowy Jedlinka,60,Fabularny,doświadczony,1 ,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,10.0,Trudny,2,4
451,Terrorysta. Bomba w Magazynie.,Skierniewice,Gabinety Tajemnic,60,Kryminalny,śr. zaawansowani,1 ,454,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,8.0,10.0,7.0,Średni,2,6
452,Histeria,Skierniewice,Gabinety Tajemnic,60,Thriller,śr. zaawansowani,9 ,456,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,5.6,10.0,8.2,Bardzo trudny,2,5
453,The Mistress,Gdańsk,Escaperooms.pl,60,Fabularny,śr. zaawansowani,2 ,455,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,7.2,8.8,9.6,Łatwy,2,4
454,Pokój żużlowy,Gorzów Wielkopolski,Open The Lock,60,Fabularny,doświadczony,1 ,457,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,7.0,4.0,7.0,Średni,2,4
455,Kamienie nieskończoności,Tarnów,Trzy Klucze,60,Fabularny,śr. zaawansowani,4 ,458,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,5.8,9.5,6.3,Średni,2,5
456,Saloon,Opole,Escape Room Chata Zagadek,60,Przygodowy,śr. zaawansowani,1 ,459,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,6.0,10.0,9.0,Średni,2,5
457,Alicja,Kraków,ExitRoom ™,60,Fabularny,śr. zaawansowani,1 ,460,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,7.0,9.0,8.0,Łatwy,2,5
458,Łóżko szpitalne,Katowice,Mystery Machinery,45,Fabularny,doświadczony,1 ,434,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,9.0,10.0,9.0,Trudny,2,4
